Epoch,ResNet-34 (Original) (Loss),ResNet-34 (Original) (Acc),ResNet-34 (No Shortcut) (Loss),ResNet-34 (No Shortcut) (Acc),ResNet-50 (Original) (Loss),ResNet-50 (Original) (Acc),ResNet-50 (No Shortcut) (Loss),ResNet-50 (No Shortcut) (Acc)
1,3.5794,3.92%,3.6212,4.01%,3.7363,3.24%,3.6247,3.98%
2,3.3051,9.10%,3.5448,5.07%,3.6425,4.93%,3.5942,5.15%
3,2.9963,13.03%,3.4537,6.16%,3.4794,6.41%,3.5421,5.29%
4,2.6931,15.51%,3.3732,7.60%,3.3547,10.00%,3.497,6.05%
5,2.4076,15.40%,3.326,8.59%,3.172,11.39%,3.4387,6.32%
6,2.0966,13.87%,3.2403,8.12%,3.0537,11.56%,3.391,7.55%
7,1.7673,19.71%,3.1612,9.08%,2.8815,13.87%,3.3436,7.99%
8,1.3773,13.19%,3.0802,10.60%,2.7262,14.06%,3.2791,8.37%
9,0.9488,16.73%,2.9917,11.50%,2.5356,14.66%,3.2269,8.91%
10,0.5828,18.94%,2.9227,11.47%,2.3868,14.80%,3.1533,9.46%
11,0.2835,19.46%,2.8356,13.57%,2.1751,12.95%,3.1008,9.92%
12,0.12,26.27%,2.7312,14.66%,2.0079,14.88%,3.0528,10.19%
13,0.0428,25.10%,2.6541,14.04%,1.7659,15.18%,2.9841,12.02%
14,0.0183,28.89%,2.5468,13.68%,1.5952,10.44%,2.9519,11.58%
15,0.0109,30.14%,2.4203,15.40%,1.2485,16.22%,2.9111,12.02%
16,0.009,29.49%,2.3189,17.17%,1.0002,12.86%,2.8284,12.73%
17,0.0082,29.08%,2.1712,12.54%,0.8149,17.09%,2.7792,13.38%
18,0.0067,29.33%,2.0554,15.32%,0.5863,15.64%,2.7262,11.88%
19,0.0059,30.17%,1.9069,15.02%,0.3693,19.27%,2.6676,13.33%
20,0.005,30.01%,1.7793,16.14%,0.219,20.99%,2.592,14.15%
